core_diameter_mm,shell_thickness_mm,energy_density_wh_per_l,reserve_fraction,round_trip_efficiency,active_duty_cycle,load_power_mw,storage_volume_l,usable_energy_wh,required_energy_wh,margin_wh,status
10,1.0,25,0.1,0.6,0.5,10,0.0003811799086355615,0.00514592876658008,0.003,0.00214592876658008,PASS
10,1.0,25,0.1,0.75,0.1,10,0.0003811799086355615,0.0064324109582250995,0.0006,0.0058324109582251,PASS
10,1.0,25,0.1,0.75,0.25,10,0.0003811799086355615,0.0064324109582250995,0.0015,0.0049324109582251,PASS
10,1.0,25,0.1,0.75,0.5,10,0.0003811799086355615,0.0064324109582250995,0.003,0.0034324109582250994,PASS
10,1.0,25,0.1,0.9,0.1,10,0.0003811799086355615,0.00771889314987012,0.0006,0.00711889314987012,PASS
10,1.0,25,0.1,0.9,0.25,10,0.0003811799086355615,0.00771889314987012,0.0015,0.006218893149870119,PASS
10,1.0,25,0.1,0.9,0.5,10,0.0003811799086355615,0.00771889314987012,0.003,0.00471889314987012,PASS
10,1.0,25,0.2,0.6,0.1,10,0.0003811799086355615,0.004574158903626738,0.0006,0.003974158903626738,PASS
10,1.0,25,0.2,0.6,0.25,10,0.0003811799086355615,0.004574158903626738,0.0015,0.0030741589036267377,PASS
10,1.0,25,0.2,0.6,0.5,10,0.0003811799086355615,0.004574158903626738,0.003,0.0015741589036267377,PASS
10,1.0,25,0.2,0.75,0.1,10,0.0003811799086355615,0.005717698629533422,0.0006,0.005117698629533422,PASS
10,1.0,25,0.2,0.75,0.25,10,0.0003811799086355615,0.005717698629533422,0.0015,0.0042176986295334225,PASS
10,1.0,25,0.2,0.75,0.5,10,0.0003811799086355615,0.005717698629533422,0.003,0.002717698629533422,PASS
10,1.0,25,0.2,0.9,0.1,10,0.0003811799086355615,0.006861238355440107,0.0006,0.006261238355440107,PASS
10,1.0,25,0.2,0.9,0.25,10,0.0003811799086355615,0.006861238355440107,0.0015,0.005361238355440107,PASS
10,1.0,25,0.2,0.9,0.5,10,0.0003811799086355615,0.006861238355440107,0.003,0.0038612383554401065,PASS
10,1.0,25,0.3,0.6,0.1,10,0.0003811799086355615,0.0040023890406733955,0.0006,0.0034023890406733957,PASS
10,1.0,25,0.3,0.6,0.25,10,0.0003811799086355615,0.0040023890406733955,0.0015,0.0025023890406733955,PASS
10,1.0,25,0.3,0.6,0.5,10,0.0003811799086355615,0.0040023890406733955,0.003,0.0010023890406733954,PASS
10,1.0,25,0.3,0.75,0.1,10,0.0003811799086355615,0.005002986300841745,0.0006,0.004402986300841745,PASS
10,1.0,25,0.3,0.75,0.25,10,0.0003811799086355615,0.005002986300841745,0.0015,0.0035029863008417448,PASS
10,1.0,25,0.3,0.75,0.5,10,0.0003811799086355615,0.005002986300841745,0.003,0.0020029863008417447,PASS
10,1.0,25,0.3,0.9,0.1,10,0.0003811799086355615,0.006003583561010093,0.0006,0.005403583561010093,PASS
10,1.0,25,0.3,0.9,0.25,10,0.0003811799086355615,0.006003583561010093,0.0015,0.004503583561010093,PASS
10,1.0,25,0.3,0.9,0.5,10,0.0003811799086355615,0.006003583561010093,0.003,0.003003583561010093,PASS
10,1.0,25,0.4,0.6,0.1,10,0.0003811799086355615,0.0034306191777200533,0.0006,0.0028306191777200534,PASS
10,1.0,25,0.4,0.6,0.25,10,0.0003811799086355615,0.0034306191777200533,0.0015,0.0019306191777200533,PASS
10,1.0,25,0.4,0.6,0.5,10,0.0003811799086355615,0.0034306191777200533,0.003,0.0004306191777200532,PASS
10,1.0,25,0.4,0.75,0.1,10,0.0003811799086355615,0.004288273972150067,0.0006,0.0036882739721500668,PASS
10,1.0,25,0.4,0.75,0.25,10,0.0003811799086355615,0.004288273972150067,0.0015,0.0027882739721500666,PASS
